Parkhotel Mannheim,3,Germany
Hotel Borgo Pantano,5,Syracuse
Agriturismo Sant'Elia,5,Syracuse
Donna Coraly Resort,5,Syracuse
B&B Sweet Home,5,Syracuse
Temenos,5,Syracuse
Barbara B&B,5,Syracuse
Palazzo Gilistro,5,Syracuse
Giuggiulena Bed & Breakfast,5,Syracuse
Lemoni Suite,5,Syracuse
Eurostars Rey Don Jaime,3,Valencia
Vincci Lys,4,Valencia
Hotel Las Arenas Balneario Resort,4,Valencia
Vincci Mercat,4,Valencia
ILUNION Aqua 4,4,Valencia
SH Valencia Palace,4,Valencia
Vincci Palace,4,Valencia
Silken Puerta Valencia,4,Valencia
Hotel Valencia Oceanic Managed by Melia,4,Valencia
Rooms Ciencias,4,Valencia
B&B Hi Valencia Canovas,4,Valencia
Dwo Valencia by Checkin,3,Valencia
Hotel Conqueridor,4,Valencia
Sweet Hotel Renasa,3,Valencia
San Lorenzo Hotel Boutique,4,Valencia
Valencia Lounge  Hostel,3,Valencia
Valencia Center Hotel,4,Valencia
Valencia Arthouse,5,Valencia
Ramirez Flats and Bar,5,Valencia
Hotel Cosmo Valencia,5,Valencia
Hotel Helen Berger Boutique,5,Valencia
L'Esplai Valencia Bed and Breakfast,5,Valencia
Antigua Morellana HS,4,Valencia
Casa Cosy,5,Valencia
Caro Hotel,4,Valencia
Valenciaflats Ciudad de las Ciencias,4,Valencia
Soho Valencia,4,Valencia
Mon Suites Catedral,4,Valencia
Valenciaflats Centro Ciudad,4,Valencia
Citizentral Juristas,4,Valencia
Sponsored      Risorgimento Resort,4,Lecce
Palazzo Belsanti,5,Lecce
Mantatelure,5,Lecce
Dimora San Giuseppe,5,Lecce
Palazzo Bignami B&B,5,Lecce
Centro Storico,4,Lecce
Sponsored      Hotel President,3,Lecce
Palazzo Sant'Anna Lecce,5,Lecce
Torre del Parco - Dimora Storica 1419,4,Lecce
Palazzo dei Dondoli,4,Lecce
Dimora San Biagio Suites & Apartment,4,Lecce
La Bella Lecce B&B,5,Lecce
IL Cortile Delle Esperidi,5,Lecce
Best Western Plus Leone di Messapia Hotel & Conference,4,Lecce
L'Orangerie d'Epoque,5,Lecce
Azzurretta Bed & Breakfast,4,Lecce
Palazzo de Noha,5,Lecce
8piuhotel,5,Lecce
Patria Palace Hotel,4,Lecce
Risorgimento Resort,4,Lecce
Hotel President,3,Lecce
Masseria & Spa LuciaGiovanni,4,Lecce
Aedes B&B - The Garden of Dreams,4,Lecce
B&B Paisiello,5,Lecce
Michelangelo Bed And Breakfast,5,Lecce
VicodellaCavallerizza - Boutique Apartments,5,Lecce
B&B Piazza 300mila,5,Lecce
Palazzo Rollo,4,Lecce
A Class,5,Lecce
B&B Le Comari Salentine,4,Lecce
Attico Barocco,5,Lecce
Corte del Pascia,5,Lecce
Villa Elena Hotel & Residences,5,Sudak
Villa Fellini,4,Sudak
Golden Family Resort,4,Sudak
Park Hotel Porto Mare,4,Sudak
Levant Eco Hotel,4,Sudak
Bristol Hotel,4,Sudak
Lazurny Pension,4,Sudak
Apartments DaVinci,5,Sudak
Riviera Sunrise Resort & Spa Alushta,4,Sudak
Soldaya Grand Hotel & Resort,5,Sudak
Oreanda Premier Hotel,4,Sudak
LEXX Club Hotel,4,Sudak
Apartments By Primorsky Park Hotel,5,Sudak
Livadiyskiy Spa & Hotel,4,Sudak
Yalta Krugly God,4,Sudak
Coral Hotel,5,Sudak
Pension Tvorcheskaya Volna,4,Sudak
Alye Parusa Hotel,4,Sudak
More Spa & Resort,4,Sudak
Familiya Deluxe,4,Sudak
SPA-Hotel Primorskiy Park,4,Sudak
Club House Pushkin,5,Sudak
Boroda Hostel,4,Sudak
Aivazovskoye,4,Sudak
Eco-hotel Polyana Skazok Yalta,4,Sudak
Ay-Danil,4,Sudak
Grace guest house,5,Sudak
Zeleny Teatr Boutique Hotel,4,Sudak
Briz Morskoye,4,Sudak
Katyusha,5,Sudak
Hotel Lemongarden,5,Brac
Hotel Osam,4,Brac
Villa Midea,5,Brac
Hotel Bol,4,Brac
Hotel Milna Osam,4,Brac
Lifestyle Hotel Vitar,4,Brac
Waterman Beach Village,4,Brac
Gava Waterman Milna Resort & Cottages,4,Brac
Hotel Kastil,4,Brac
Hotel Villa Daniela,4,Brac
Villa Giardino Heritage Boutique Hotel Bol,5,Brac
Hotel Villa Adriatica,4,Brac
Villa Azzurra,5,Brac
Bluesun Hotel Elaphusa,4,Brac
BRETANIDE Sport & Wellness Resort,4,Brac
Hotel Pastura,4,Brac
Bluesun Holiday Village Bonaca,4,Brac
Bluesun Hotel Amor,4,Brac
Villa Dalmatina,5,Brac
Waterman Supetrus Resort,4,Brac
Zlatni Bol Apartments,5,Brac
Villa Ana,4,Brac
Hotel Villa Amorena,5,Brac
Apartment House Durdica,5,Brac
Bluesun Hotel Borak,4,Brac
Olife Hotel,4,Brac
Villa Jadranka,5,Brac
Stella Mare,5,Brac
Hotel Villa Supetar,4,Brac
Boutique Hostel Alegria,4,Brac
Hotel Aziza,5,Sarajevo
Hotel Central,4,Sarajevo
Halvat Guesthouse,5,Sarajevo
Harmony,4,Sarajevo
Garni Hotel Konak,4,Sarajevo
Hotel Sana,4,Sarajevo
Hotel Story,4,Sarajevo
Hostel Franz Ferdinand,5,Sarajevo
Hotel President Sarajevo,4,Sarajevo
Hotel Old Town,4,Sarajevo
Hotel Hills Sarajevo Congress & Thermal Spa Resort,4,Sarajevo
Hotel Festival,5,Sarajevo
Hotel VIP,5,Sarajevo
Hostel Kucha,5,Sarajevo
Hostel Vagabond Sarajevo,5,Sarajevo
Hotel Colors Inn,5,Sarajevo
Courtyard by Marriott Sarajevo,4,Sarajevo
Isa Begov Hamam Hotel,4,Sarajevo
City Boutique Hotel,4,Sarajevo
Residence Inn by Marriott Sarajevo,4,Sarajevo
Balkan Han,5,Sarajevo
Novotel Sarajevo Bristol,4,Sarajevo
Travellers Home Hostel,4,Sarajevo
Tarcin Forest Resort and Spa,4,Sarajevo
Hotel Michele Sarajevo,4,Sarajevo
Pansion River,4,Sarajevo
Bosmal Arjaan by Rotana,5,Sarajevo
Kandilj Pension,4,Sarajevo
Hotel Latinski Most,4,Sarajevo
Hotel Old Sarajevo,4,Sarajevo
Splendid Conference & Spa Hotel Adults Only,4,Constanta
Hotel Cherica,4,Constanta
Mava Apartamente,5,Constanta
New Splendid Hotel & Spa,4,Constanta
Tomis Garden Aparthotel,4,Constanta
Hotel On Plonge Jr.,4,Constanta
Hotel Del Mar Mamaia,4,Constanta
Vila Flavia B&B,4,Constanta
Hotel Scapino,4,Constanta
Nyota Hotel & Conference Center,4,Constanta
IAKI Conference & Spa Hotel,4,Constanta
Vega Hotel,4,Constanta
Hotel Carol,4,Constanta
Hotel Opera,4,Constanta
Ramada by Wyndham Constanta,3,Constanta
Belle Epoque Boutique Villa,5,Constanta
Hotel Milano Blue,4,Constanta
Eol777 Hostel,4,Constanta
Hotel Mizuumi,4,Constanta
Oneiro Resort,4,Constanta
Hotel Dali,4,Constanta
Marina Regia Residence,3,Constanta
Vila Reyna,4,Constanta
Villa Edel Constanta,4,Constanta
Hotel Ovidiu,4,Constanta
Hotel Ges,4,Constanta
Savoy Hotel Mamaia,3,Constanta
Hotel Bueno,4,Constanta
Marina Surf,4,Constanta
Riva Mamaia,5,Constanta
Odisseya Hotel,3,Lazarevskoye
Argo Hotel,4,Lazarevskoye
Hotel Priboy,3,Lazarevskoye
Dolphin Hotel,4,Lazarevskoye
Prometey  Club Hotel&Spa,4,Lazarevskoye
Apart Hotel Bristol,5,Lazarevskoye
Oranzhevoye Solntse,5,Lazarevskoye
Hotel Evelin,4,Lazarevskoye
Calipso,4,Lazarevskoye
L-Hotel,5,Lazarevskoye
Bristol,4,Lazarevskoye
Storm Hotel,4,Lazarevskoye
Atlanta Hotel,4,Lazarevskoye
Hotel Maestro,4,Lazarevskoye
Lazurnoye Okno,5,Lazarevskoye
Park-Hotel Divniy,4,Lazarevskoye
European Guest House,5,Lazarevskoye
Zolotaya Imperia Hotel,4,Lazarevskoye
Grenada,3,Lazarevskoye
Oreshnik Hotel,4,Lazarevskoye
Nairi Guest House,5,Lazarevskoye
Guest House Arlian,4,Lazarevskoye
Palma,5,Lazarevskoye
Cardinal,5,Lazarevskoye
Hotel Iceberg,4,Lazarevskoye
Guest House Villa More,4,Lazarevskoye
HappyLinn,4,Lazarevskoye
U Aleksandra Guest House,5,Lazarevskoye
Lavanda,4,Lazarevskoye
Korsar Hotel,4,Lazarevskoye
Gran Hotel Miramar GL,4,Malaga
Barcelo Malaga,4,Malaga
NH Malaga,4,Malaga
Madeinterranea Suites,5,Malaga
